species;longitude;latitude
Piptolepis_ericoides;-43.55044444;-19.26086111
Piptolepis_ericoides;-43.58333333;-19.35
Piptolepis_ericoides;-43.55055556;-19.24444444
Piptolepis_ericoides;-42.92808333;-16.613
Piptolepis_ericoides;-43.45305556;-20.13416667
Piptolepis_ericoides;-43.45;-20.10944444
Piptolepis_ericoides;-43.48666667;-20.43638889
Piptolepis_ericoides;-43.50972222;-19.23416667
Piptolepis_ericoides;-43.33255556;-19.36313889
Piptolepis_ericoides;-43.88527778;-18.61416667
Piptolepis_ericoides;-46.29333333;-20.60361111
